Wall time,Step,Value
1630300807.963831,0,3.0
1630307796.801502,100,11.0
1630315011.554893,200,13.0
1630322361.206126,300,13.0
1630329455.419716,400,10.0
1630336304.928587,500,3.0
1630343269.989055,600,8.0
1630350210.838575,700,8.0
1630357224.398123,800,5.0
1630364605.111318,900,1.0
1630371545.18193,1000,4.0
1630378191.096671,1100,3.0
1630385192.73507,1200,0.0
1630392226.721588,1300,5.0
1630399484.094358,1400,1.0
1630406567.26457,1500,7.0
1630413677.589459,1600,4.0
1630420417.545131,1700,0.0
1630427233.381653,1800,2.0
1630434018.054929,1900,0.0
1630440569.645846,2000,6.0
1630447441.196882,2100,0.0
1630454598.261763,2200,5.0
1630461232.59832,2300,3.0
1630467910.123311,2400,8.0
1630475135.503232,2500,0.0
1630482114.706589,2600,0.0
1630489038.301115,2700,5.0
1630496140.343067,2800,0.0
1630503200.215137,2900,0.0
1630510166.601581,3000,8.0
1630517010.212424,3100,8.0
1630523890.669325,3200,0.0
1630530866.845549,3300,3.0
1630538055.039495,3400,3.0
1630544925.885731,3500,0.0
1630552135.004076,3600,4.0
1630559158.142746,3700,1.0
1630566154.233994,3800,4.0
1630573629.729138,3900,7.0
1630580691.374733,4000,0.0
1630587630.166736,4100,4.0
1630594626.37555,4200,4.0
1630601597.420624,4300,0.0
1630608189.646212,4400,0.0
1630615423.138544,4500,1.0
1630622544.804674,4600,7.0
1630629712.074631,4700,5.0
1630637042.360613,4800,6.0
1630644405.913008,4900,6.0
1630650804.315556,5000,4.0
1630657140.880438,5100,0.0
1630663997.612478,5200,0.0
1630671356.270819,5300,1.0
1630677924.006922,5400,0.0
1630684618.942617,5500,1.0
1630691160.667642,5600,6.0
1630697874.417586,5700,2.0
1630704571.437687,5800,0.0
1630711783.549549,5900,0.0
1630718737.583253,6000,0.0
1630725862.836446,6100,1.0
