Wall time,Step,Value
1630300809.745761,0,407.79827880859375
1630307797.523579,100,1121.3717041015625
1630315012.069672,200,884.4678955078125
1630322362.179209,300,385.9265441894531
1630329456.153364,400,747.9169311523438
1630336305.738806,500,496.7316589355469
1630343270.935873,600,466.78607177734375
1630350211.665846,700,394.4311828613281
1630357225.029123,800,667.0241088867188
1630364606.014269,900,657.958251953125
1630371546.060336,1000,432.4028625488281
1630378191.858431,1100,404.2086486816406
1630385193.52992,1200,508.4737854003906
1630392227.483311,1300,555.255615234375
1630399485.198263,1400,662.5368041992188
1630406568.160983,1500,384.0924072265625
1630413678.497588,1600,363.95703125
1630420418.294852,1700,338.8949890136719
1630427234.009365,1800,781.7455444335938
1630434019.160049,1900,345.8372497558594
1630440570.367821,2000,532.8587646484375
1630447442.161276,2100,342.7543640136719
1630454598.935971,2200,356.5799865722656
1630461233.270023,2300,352.99774169921875
1630467910.832976,2400,350.3533630371094
1630475136.288785,2500,379.54998779296875
1630482115.490358,2600,707.949951171875
1630489039.296581,2700,364.6510925292969
1630496141.222051,2800,335.1198425292969
1630503201.275812,2900,411.3797912597656
1630510167.329033,3000,454.03472900390625
1630517010.927691,3100,643.2392578125
1630523891.729262,3200,364.6510925292969
1630530867.506253,3300,474.3414001464844
1630538055.899952,3400,474.1660461425781
1630544926.892233,3500,486.5938720703125
1630552135.831374,3600,480.65655517578125
1630559158.894706,3700,365.8334655761719
1630566155.073458,3800,365.8334655761719
1630573630.554401,3900,610.6913452148438
1630580692.301326,4000,493.7832946777344
1630587631.209459,4100,510.8259582519531
1630594627.490484,4200,510.8259582519531
1630601598.457285,4300,340.255126953125
1630608190.427373,4400,335.3211975097656
1630615423.980469,4500,345.6595764160156
1630622545.603012,4600,340.1998596191406
1630629712.845673,4700,453.0438537597656
1630637043.230018,4800,591.3302001953125
1630644406.525967,4900,680.6990356445312
1630650805.015289,5000,370.516845703125
1630657142.009123,5100,339.1301574707031
1630663998.469722,5200,370.486083984375
1630671357.175218,5300,355.1416015625
1630677925.05963,5400,337.6472473144531
1630684619.906733,5500,332.8529357910156
1630691161.326663,5600,445.1015625
1630697875.225604,5700,463.43682861328125
1630704572.434993,5800,361.8565673828125
1630711784.564715,5900,361.8565673828125
1630718738.559345,6000,361.8565673828125
1630725863.863647,6100,360.50457763671875
